Sample,SBS5,SBS1,SBSB,SBSblood
PD51264b,0.0,0.12159487919463552,0.11797549988536699,0.7604296209199976
PD51265b,0.0,0.1438296127148604,0.0,0.8561703872851396
PD51266b,0.4316138219612524,0.13408471729210175,0.07362339309907884,0.36067806764756694
PD51267b,0.0,0.11821656533673734,0.09416237766720559,0.7876210569960571
PD51269b,0.24176511677315032,0.11831565380985226,0.0,0.6399192294169974
PD51271b,0.21629448352124886,0.1513279464817712,0.15549286306711643,0.47688470692986346
PD51273b,0.0,0.09398399701983011,0.07979038999713166,0.8262256129830383
PD51274b,0.16405106670363362,0.13677851989628356,0.24947978747196958,0.4496906259281132
PD51276b,0.2575481851183931,0.1423811448601325,0.07265008089594525,0.5274205891255292
PD51285b,0.19366137626942573,0.12835164659281492,0.0,0.6779869771377594
PD51290b,0.19105663788215713,0.1749337966649453,0.0,0.6340095654528975
PD51293b,0.0,0.1445064513878557,0.0,0.8554935486121442
PD51303b,0.13008166751922884,0.1429158452716826,0.0,0.7270024872090886
PD51385b,0.28987930609858886,0.11989135133147734,0.13297537786214175,0.4572539647077919
PD51389b,0.2915529141439081,0.12211753150937386,0.08761219350199392,0.49871736084472423
PD51390b,0.13209158085614114,0.08193587583417784,0.0,0.7859725433096809
PD51416b,0.23307023759870266,0.1198642855795453,0.0,0.6470654768217521
PD51427b,0.18523218351447218,0.12880381926347378,0.1064833183320778,0.5794806788899763
PD51428b,0.37100152099179856,0.14853051792749583,0.0,0.4804679610807057
PD51637b,0.15399988998044103,0.13605728577374934,0.09741750341413154,0.6125253208316781
PD51638b,0.3087188410302098,0.13059664766259826,0.09957183442985496,0.46111267687733687
PD51639b,0.36329563977442547,0.11828335277248044,0.0,0.5184210074530943
PD51640b,0.20035979648982116,0.14109183319645208,0.06467964606749434,0.5938687242462325
PD51642b,0.24808522395524082,0.12610184679190414,0.13412061261115502,0.4916923166417001
PD51643b,0.566202782129727,0.16401920064521688,0.09920701906638518,0.1705709981586709
PD51644b,0.28572896583113366,0.13251633805164106,0.12877054276231129,0.45298415335491404
PD51646b,0.18214399362057682,0.15040804061107108,0.0,0.6674479657683521
PD51651b,0.31862632042262073,0.1123310610701912,0.0,0.5690426185071881
PD51652b,0.16206437825522196,0.14185117378955567,0.07369402370790563,0.6223904242473167
PD51654b,0.4203483926851279,0.126078938350001,0.14575272054538965,0.3078199484194814
PD51658b,0.29914666877457,0.115780782355604,0.0,0.585072548869826
PD51661b,0.27920686858926663,0.12275279929734507,0.12593890627937152,0.47210142583401676
PD51667b,0.0,0.16908333207740048,0.1341783160921421,0.6967383518304574
PD51682b,0.0,0.14966857890192878,0.10709371201750427,0.743237709080567
PD51695b,0.24925645495066084,0.10698768039132596,0.19826481445268562,0.4454910502053276
PD51697b,0.29503027447145924,0.14486384358464854,0.1348929558652341,0.4252129260786582
PD51702b,0.3466067813165581,0.1249121084323342,0.06735628186628737,0.46112482838482033
PD51705b,0.15147218339416638,0.12490164127356654,0.11215609409326056,0.6114700812390065
PD51706b,0.26669082982713177,0.14421355950282855,0.07738609186342964,0.5117095188066099
PD51714b,0.38735118794353246,0.13947707246185426,0.1319954533215227,0.3411762862730906
PD51716b,0.2577519165050992,0.15727312270897634,0.16188782785180117,0.42308713293412326
PD51717b,0.16383173948025023,0.14247847889364212,0.11415920020390234,0.5795305814222053
PD51718b,0.21457437506700064,0.10552081836596854,0.08285439092546873,0.5970504156415621
PD51720b,0.0,0.14938528159201572,0.0,0.8506147184079843
PD51721b,0.3029356400315006,0.12529588194382568,0.21252351919020676,0.359244958834467
PD51723b,0.2107800962846929,0.11572549504637912,0.13668193742701573,0.5368124712419121
PD51737b,0.27506051245480195,0.13597782505943806,0.08617808616541542,0.5027835763203445
PD51742b,0.36533046448306056,0.12940935464776654,0.11172838334679389,0.39353179752237893
PD51768b,0.0,0.16959018361163092,0.08449235605692931,0.7459174603314399
PD51806b,0.41425124643640804,0.10050741008207764,0.1311062905310488,0.3541350529504655
PD51815b,0.22743581390749537,0.1386644392588225,0.10358414542820032,0.5303156014054817
PD51816b,0.2590313831983351,0.10248025034493187,0.09895325057774353,0.5395351158789894
PD51817b,0.4059286154177359,0.13226839547904823,0.16554151090833036,0.2962614781948854
PD51820b,0.28326697904874554,0.13154876719761702,0.11961743950438002,0.46556681424925744
PD51823b,0.0,0.13166425828363904,0.0,0.8683357417163609
PD55504c,0.0,0.1675349073973291,0.0,0.8324650926026709
PD55505c,0.33289624070027385,0.11026331301834678,0.0,0.5568404462813793
PD55506c,0.268244095609433,0.14457711137287757,0.0,0.5871787930176894
PD55508c,0.4290269581641319,0.10885107152437777,0.11076533461297851,0.35135663569851183
PD55509c,0.247970600080446,0.11316692921649033,0.07185082966690798,0.5670116410361558
PD55510c,0.44716252703012055,0.09472994925247505,0.0,0.45810752371740443
PD55511c,0.1544393239920866,0.18307034760518479,0.0,0.6624903284027286
PD55512c,0.2549351370225243,0.14689281993280998,0.17300427353662312,0.42516776950804247
PD55513c,0.38384079119531306,0.12407244404442794,0.10456660369168308,0.38752016106857595
PD55515c,0.43577114646413667,0.14435016222771396,0.0,0.4198786913081493
PD55516c,0.501623751983779,0.12288186517340965,0.08977549674418996,0.28571888609862134
PD55517c,0.3892950955553042,0.1597789230989137,0.0,0.450925981345782
PD55518c,0.26142288185014845,0.1356833607763868,0.12680730630084208,0.47608645107262276
PD55519c,0.3576590414406293,0.09598646261201434,0.0,0.5463544959473563
PD55520c,0.4554303366831257,0.1378352086949341,0.11081766874081353,0.2959167858811268
PD55521c,0.28416350433934484,0.13353024211228562,0.0,0.5823062535483695
PD55522c,0.0,0.1442829891445133,0.09259720093321641,0.7631198099222704
PD55524c,0.0,0.12415859586155091,0.0,0.8758414041384491
PD55526c,0.22127144687390404,0.13760958273901852,0.0,0.6411189703870775
PD55527c,0.15186597329036017,0.12880007166391721,0.11619835561202577,0.6031355994336969
PD55528c,0.5048252922400002,0.08318221453077934,0.0,0.4119924932292205
PD55529c,0.20813647659577497,0.113760455423745,0.12648064287594515,0.5516224251045349
PD55530c,0.2700156729153076,0.13977065130756797,0.0,0.5902136757771245
PD55531c,0.3439661902413524,0.13270173692475432,0.11803323217620357,0.40529884065768984
PD55533c,0.2971472152612802,0.15346617224463882,0.12209970739800997,0.42728690509607103
PD55534c,0.23245059705779367,0.1066340683100078,0.0,0.6609153346321985
PD55535c,0.37275582575065896,0.1020526042778341,0.11130098548988487,0.4138905844816222
PD55536c,0.15082719062583425,0.1400902639092246,0.0,0.7090825454649411
PD55538c,0.15305371419346084,0.12828729365983105,0.08491497312572135,0.6337440190209869
